Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34
97,90,89,86,81,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,90,89,86,81,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,90,89,86,81,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,95,94,92,89,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,98,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,98,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,90,89,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,94,78,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,94,78,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,87,78,75,75,75,72,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,91,78,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,94,78,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,94,85,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,94,93,81,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,94,94,86,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,94,94,90,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,94,92,81,79,76,76,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,94,93,81,79,76,76,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,94,93,81,77,73,72,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,94,93,83,82,81,81,77,,,,,,,,,,,,,,,,,,,,,,,,,,
99,94,89,83,80,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,95,92,87,85,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,95,92,87,85,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,94,92,87,85,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,96,94,90,87,84,80,77,76,76,,,,,,,,,,,,,,,,,,,,,,,,
97,96,94,90,87,84,80,77,76,76,,,,,,,,,,,,,,,,,,,,,,,,
97,96,94,90,87,84,80,77,76,76,,,,,,,,,,,,,,,,,,,,,,,,
97,96,94,90,87,84,80,77,76,,,,,,,,,,,,,,,,,,,,,,,,,
97,96,96,91,88,84,82,78,76,,,,,,,,,,,,,,,,,,,,,,,,,
97,90,90,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,90,90,89,82,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,90,90,89,82,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,90,90,89,82,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,95,94,91,88,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,98,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,82,78,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,83,79,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,97,,84,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,
